"id","year","lat","lng","category","title_tr","location_tr","description_tr","title_en","location_en","description_en"
"111","1996","39.913","28.1575","yerinden","Susurluk Kazası","Balıkesir — Susurluk","Balikkesir Susurluk ilcesinde yasanan trafik kazasi sonucu devlet, mafya ve siyaset iliskilerinin ortaya cikmasini saglamistir. interpol tarafindan aranan ulkucu mafya lideri Abdullah Catli, Urfa milletveli Sedat Bucak ve emniyet muduru Suleyman Sahin ayni aracta bulunmaktaydi. Abtullah Catli, kiz arkadasi ve arabayi kullanan sofer hayatini kaybetmistir. Bu kaza, 1990 li yillarda gerceklesen suikast, isgence ve gozaltinda kayip olarak nitelendirilen bir cok hak ve hukuk ihlalalerinin aciga cikmasini saglamistir. Devletin bazi kurum ve kisilerinin bu donemde karanlik guclerle iliskiler icinde oldugunu ortayacarmistir.","The Susurluk Crash","Balıkesir — Susurluk","A traffic accident in Balıkesir's Susurluk district exposed the relations between the state, the mafia and politics: ultranationalist mafia leader Abdullah Çatlı — wanted by Interpol — Urfa deputy Sedat Bucak and police chief Süleyman Şahin were in the same car. Çatlı, his girlfriend and the driver died. The crash brought to light many of the violations of the 1990s — assassinations, torture, disappearances in custody — revealing that certain institutions and figures of the state were entangled with dark forces in this period."
"52","1999","40.4906","28.5189","direnis","Öcalan'ın Yakalanması","İmralı","15 Şubat 1999'da Kenya'da yakalanan Abdullah Öcalan İmralı Adası'na hapsedildi.","Capture of Öcalan","İmralı","On 15 February 1999, captured in Kenya, imprisoned on İmralı Island."
"53","2000","37.2461","37.8639","yerinden","Birecik Barajı — Eski Halfeti Sular Altında","Halfeti","Birecik Barajı baraj gölünün dolmasıyla eski Halfeti sular altında kaldı; Rumkale yarı yarıya suya gömüldü; yerleşim Karaotlak'a taşındı.","Birecik Dam — Old Halfeti Submerged","Halfeti","As the Birecik Dam reservoir filled, old Halfeti was submerged; Rumkale half-drowned."
"54","2002","37.4242","41.5067","hukuki","Yeni Vakıflar Kanunu — Süryani Mülkleri","Mor Gabriel","1974'ten beri el konulan Rum vakıflarına ait 152, Ermeni 48 ve Süryani 6 bina/arsa eski sahiplerine veya Hazineye devredildi. 2008'de Mor Gabriel Manastırı (M.S. 397) topraklarına el konulmak istendi.","New Foundations Law — Syriac Properties","Mor Gabriel","Properties seized since 1974 were either returned or transferred to the Treasury. In 2008, an attempt was made to seize lands of Mor Gabriel Monastery (397 CE)."
"112","2004","39.9334","32.8597","hukuki","İdam Cezası Kaldırıldı","Ankara","7 mayis 2004 tarihinde 5170 sayili yasa ile anayasa icerisindeki olum cezalariyla ilgili butun maddeler kaldirildi. idam cezasinin kaldirilmasi turkiyenin avrupa birligine uyum yasalarina anayasayi uyumlu olmasi surecinde alindi.","Abolition of the Death Penalty","Ankara","On 7 May 2004, Law 5170 removed all death-penalty provisions from the constitution — a step taken in the process of aligning the constitution with the EU accession laws."
"55","2005","39.9334","32.8597","hukuki","5366 sayılı Yenileme Kanunu","Ankara","16 Haziran 2005. 'Yıpranan Tarihi ve Kültürel Taşınmaz Varlıklar.' Sözde koruma, fiilen Sur, Mardin, Tarlabaşı, Sulukule'de mülksüzleştirici 'yenileme' operasyonlarının ana yasal aracı. kentsel donusum uygulamalarin baslamasi.","Law No. 5366 — 'Renewal' Law","Ankara","16 June 2005. The main legal instrument of dispossessive 'renewal' operations."
"56","2005","37.9144","40.2306","direnis","Erdoğan'ın Diyarbakır Konuşması","Diyarbakır","12 Ağustos 2005. Başbakan Erdoğan Diyarbakır'da 'Kürt sorunu vardır' diyerek tarihi bir konuşma yaptı.","Erdoğan's Diyarbakır Speech","Diyarbakır","12 August 2005. 'There is a Kurdish question.'"
"57","2007","37.7142","41.4119","yikim","Ilısu Barajı Temeli Atıldı","Ilısu / Hasankeyf","5 Eylül 2007. GAP'ın 'son büyük projesi.' Avusturya, Almanya, İsviçre konsorsiyumu Temmuz 2009'da insan hakları ve çevre kaygılarıyla çekildi; proje Türk hükümetinin yerli finansmanıyla devam etti. 2019 da bitirildi.","Ilısu Dam Groundbreaking","Ilısu / Hasankeyf","5 September 2007. The Austrian-German-Swiss consortium withdrew in July 2009 over human rights concerns."
"58","2011","37.5544","43.6708","direnis","Roboski / Uludere Katliamı — 34 Sivil","Roboski / Uludere","28 Aralık 2011. Roboski köyünden 34 sivil (19'u 18 yaşından küçük) F-16 bombardımanıyla öldürüldü. Soruşturma takipsizlikle sonuçlandı.","Roboski / Uludere Massacre","Roboski / Uludere","28 December 2011. 34 civilians (19 under 18) killed by F-16 bombing."
"59","2012","37.9118","40.2375","hukuki","6306 sayılı Afet Yasası — Surici 'Riskli Alan'","Diyarbakır Surici","31 Mayıs 2012. 22 Ekim 2012 BKK: Sur ilçesinin tamamı 'riskli alan' — 7.714 taşınmazın 6.292'si bu kapsamda.","Law No. 6306 — Sur as 'Risk Area'","Diyarbakır Sur","31 May 2012. The entirety of Sur declared a 'risk area' — 6,292 of 7,714 properties."
"60","2012","37.5164","42.4611","mimarlik","Kalekol Mimarisi","Şırnak","'Kale' + 'karakol.' Türkiye–Irak sınırında Şırnak-Hakkari arasında 149 kalekol inşa edildi; toplam 402 planlandı. İki kilometre aralıklarla — askerî denetim ağı + demografi mühendisliği aygıtı.","Kalekol — 'Fortress-Station' Architecture","Şırnak","A neologism of 'castle' + 'police station.' 149 kalekol built along the Turkey-Iraq border; 402 planned."
"61","2013","37.9144","40.2306","direnis","Çözüm Süreci — Öcalan'ın Newroz Mesajı","Diyarbakır","21 Mart 2013. Diyarbakır Newroz alanında Öcalan'ın mesajı: 'Silahlı unsurlarımız sınır dışına çekilsin.' PKK 8 Mayıs 2013'te sınır dışına çekilme operasyonunu başlattı.","Peace Process — Öcalan's Newroz Message","Diyarbakır","21 March 2013. 'Let our armed elements withdraw across the border.'"
"62","2013","36.2675","36.5681","direnis","Reyhanlı Bombalı Saldırıları","Reyhanlı","11 Mayıs 2013. Hatay-Reyhanlı'da iki bombalı saldırı: 52 ölü, 146 yaralı.","Reyhanlı Bombings","Reyhanlı","11 May 2013. Two car bombs: 52 dead, 146 wounded."
"63","2014","37.905","40.2425","direnis","Hevsel Bahçeleri Direnişi","Hevsel Bahçeleri","Mart 2014. Dicle Üniversitesi'nin hevsel bahceleri etrafindaki 1.000'e yakın ağaç ve sazlık kesmesine karşı yaklaşık bir ay süren direniş.","Hevsel Gardens Resistance","Hevsel Gardens","March 2014. A month-long resistance against the felling of nearly a thousand trees."
"64","2014","37.9144","40.2306","direnis","Kobani Olayları — 6-8 Ekim","Diyarbakır","IŞİD'in Kobani kuşatmasına TR müdahale etmemesine tepki. HDP MYK'nın 6 Ekim sokağa çıkma çağrısı. Ülke genelinde 46 ölü, 682 yaralı, 1.113 bina hasar. 2024 Kobani Davası, kayyumların yargısal gerekçesi olacak.","Kobani Events — 6-8 October","Diyarbakır","46 dead, 682 injured, 1,113 buildings damaged. The 2024 Kobani Trial would become the judicial basis for trustee appointments."
"65","2015","37.905","40.2425","mimarlik","Diyarbakır Kalesi ve Hevsel UNESCO Listesinde","Hevsel Bahçeleri","4 Temmuz 2015, Bonn, 39. UNESCO Dünya Mirası Komitesi. Türkiye'nin 14. miras alanı ` diyarbakir kalesi ve hevsel bahceleri kulturel peyzaj alani ve tampon bolgeleri`olarak belirledi.","Diyarbakır Fortress and Hevsel on UNESCO List","Hevsel Gardens","4 July 2015, Bonn, 39th session of the UNESCO World Heritage Committee: Turkey's 14th heritage site, inscribed as the 'Diyarbakır Fortress and Hevsel Gardens Cultural Landscape' with its buffer zones."
"66","2015","36.9783","38.4144","direnis","Suruç Katliamı — 34 Ölü","Suruç","20 Temmuz 2015. SGDF'nin Kobani'yi yeniden inşa toplantısında IŞİD bağlantılı intihar saldırısı: 34 ölü, 100+ yaralı.","Suruç Massacre — 34 Dead","Suruç","20 July 2015. An ISIS-linked suicide attack: 34 dead, 100+ wounded."
"67","2015","37.9118","40.2375","direnis","Tahir Elçi Suikastı — Dört Ayaklı Minare","Dört Ayaklı Minare","28 Kasım 2015. Diyarbakır Barosu Başkanı Tahir Elçi, Şeyh Mutahhar Cami'nin Dört Ayaklı Minaresi önünde basın açıklaması sonrası vuruldu. Forensic Architecture 2019 raporu: olay yerindeki 3 polisten birinin silahından çıkma olasılığı yüksek. 12 Haziran 2024: 3 polis hakkında beraat kararı.","Assassination of Tahir Elçi","Four-Legged Minaret","28 November 2015. Bar Association president Tahir Elçi was shot after a press statement. Forensic Architecture's 2019 report: high probability the bullet came from one of three police officers."
"68","2015","37.3303","42.1899","yikim","Cizre Kent Savaşı — 391 Gün Abluka","Cizre","14 Aralık 2015 başladı. Kümülatif 5 yasak, 391 gün. TİHV: 251 sivil ölü; 283 toplam. Bodrum katlarında bedenleri yanmış cesetler. 10.000+ ev hasar; 25.000–100.000 kişi yerinden edildi.","Cizre Urban War — 391 Days of Siege","Cizre","Began 14 December 2015. HRFT: 251 civilian deaths; 283 in total. Burned bodies in basements."
"69","2016","37.9118","40.2375","yikim","Suriçi Yıkımı — 6 Mahalle","Diyarbakır Sur","Eylül 2015–Mart 2016. TMMOB 11.07.2017 uydu analizi: 4.985 yapıdan 3.569 tamamen yıkıldı; 46,3 hektar düz arazi. 53 tescilli yapı tamamen yıkıldı. tarihi hancepek ve gavur mahallesi olarak adlandirilan ermeni mimarligi ornegi tescilli yapilarda yiktirildi.","Demolition of Sur — Six Quarters","Diyarbakır Sur","September 2015 – March 2016. TMMOB satellite analysis (11 July 2017): of 4,985 buildings, 3,569 completely demolished; 46.3 hectares of levelled ground. 53 listed structures destroyed — among them registered examples of Armenian architecture in the historic Hançepek, the so-called 'Gavur' quarter."
"70","2016","37.9118","40.2375","hukuki","Sur Acele Kamulaştırma — %80","Diyarbakır Sur","21 Mart 2016. Bakanlar Kurulu kararı 2016/8659. Suriçi'nin %80'i, 6.292 taşınmaz acele kamulaştırma.2012 yilinda alipasa, lalabey ve cevat pasa mahalleri kentsel donusum sureciyle suricinin kalan %20 lik kismi kamulastirilmisti. boylece suici bolgesi tamamen kamulastirilmis oldu.","Urgent Expropriation of Sur — 80%","Diyarbakır Sur","21 March 2016, cabinet decree 2016/8659: 80% of Suriçi — 6,292 parcels — placed under urgent expropriation. The remaining 20% (the Alipaşa, Lalebey and Cevatpaşa quarters) had already been expropriated in the 2012 urban-transformation process; with this, the whole of Suriçi was expropriated."
"71","2016","37.3389","41.8861","yikim","İdil Kent Savaşı","İdil / Şırnak","16 Şubat 2016. 43 gün yasak. 26.511 nüfuslu ilçenin %80'i yerinden. 24 ölü.","İdil Urban War","İdil / Şırnak","16 February 2016. 80% of the district's 26,511 inhabitants displaced. 24 dead."
"72","2016","37.5164","42.4611","yikim","Şırnak Merkez Kent Savaşı — 391 Gün","Şırnak","14 Mart 2016. 391 gün abluka, 64 ölü. Aydınlar, İsmetpaşa, Cumhuriyet, Gazipaşa, Bahçelievler, Vakıfkent, Yeşilyurt mahalleleri neredeyse tamamen yıkıldı.","Şırnak Centre Urban War — 391 Days","Şırnak","14 March 2016. 391 days of siege, 64 dead."
"73","2016","37.0728","41.2156","yikim","Nusaybin Kent Savaşı — 16 Mahalle","Nusaybin","14 Mart 2016. 16 mahalle. 45.000+ kişi yerinden. OHCHR: 1.786 yapı hasar; 398 tamamen yıkıldı.","Nusaybin Urban War — 16 Quarters","Nusaybin","14 March 2016. Over 45,000 displaced. OHCHR: 1,786 buildings damaged; 398 entirely destroyed."
"74","2016","37.5667","44.2833","yikim","Yüksekova Kent Savaşı","Yüksekova","13 Mart 2016. 79 gün yasak. 96 ölü.","Yüksekova Urban War","Yüksekova","13 March 2016. 79-day curfew. 96 dead."
"75","2016","39.9334","32.8597","hukuki","KHK 674 — Kayyum Yasası","Ankara","1 Eylül 2016. 5393 sayılı Belediye Kanunu'na ek: 'terör örgütüne yardım' suçlamalarıyla görevden alınan başkanların yerine vali/kaymakam kayyum olarak atandi. 102 HDP/DBP belediyesinden 95'ine 2016–19 arasında kayyumlar atanmaya devam etti. kayyum yasasi halen yururlukte olup yerelde halkin iradesine yapilan darbeler olarak tanimlanmaktadir.","Decree-Law 674 — Trustee Law","Ankara","1 September 2016, appended to Municipal Law 5393: governors and district governors appointed as trustees in place of mayors removed over 'aiding a terrorist organization.' Between 2016 and 2019, trustees were imposed on 95 of 102 HDP/DBP municipalities. The trustee law remains in force — described as a standing coup against the will of the local population."
"76","2017","37.9118","40.2375","yikim","Alipaşa ve Lalebey Mahallelerinin Yıkımı","Diyarbakır Sur","22 Mayıs 2017. Çatışma yaşanmayan Alipaşa (2.963) ve Lalebey (2.853) mahallelerinde kentsel dönüşüm kapsamında yıkım. SAMER raporu: %93,2 Kürt, HDP 2015 Haziran'da %81,56.","Demolition of Alipaşa and Lalebey Quarters","Diyarbakır Sur","22 May 2017. Demolition of Alipaşa (2,963) and Lalebey (2,853) — where no clashes had taken place."
"77","2017","37.7142","41.4119","mimarlik","Zeynel Bey Türbesi'nin Taşınması","Hasankeyf","12 Mayıs 2017. 1.150 ton, 15. yüzyıl Akkoyunlu (mimar Pir Hasan). 8 SPMT aracıyla 3 saat 55 dakika, 2 km. Türkiye'de bütüncül taşıma ile yer değiştirilen ilk tarihi eser.","Moving the Zeynel Bey Tomb","Hasankeyf","12 May 2017. 1,150 tons, 15th-century Aqqoyunlu. The first monument in Turkey relocated by integral transport."
"78","2019","37.7142","41.4119","yikim","Ilısu Barajı'nda Su Tutma — Hasankeyf Su Altında","Hasankeyf","23 Temmuz 2019. 199 yerleşim, 289 arkeolojik sit etkilendi. 12 bin yıllık Hasankeyf sular altında; 55.000–100.000 kişi etkilendi.","Ilısu Dam Impoundment — Hasankeyf Submerged","Hasankeyf","23 July 2019. 199 settlements, 289 archaeological sites affected. The 12,000-year-old Hasankeyf submerged; 55,000–100,000 affected."
"79","2019","37.7142","41.4119","mimarlik","El-Rızk Camii Taşındı — Operasyon Sonu","Hasankeyf","16 Aralık 2019. 1.700 ton, 1409 (Eyyubi Süleyman Bey). 256 tekerlekli SPMT, 5 km. Hasankeyf eser taşıma operasyonunun sonu. Maliyet: 300 milyon TL+.","Relocation of El-Rızk Mosque","Hasankeyf","16 December 2019. 1,700 tons, 1409. The conclusion of Hasankeyf monument relocation."
"80","2019","37.9144","40.2306","hukuki","İkinci Kayyum Dalgası","Diyarbakır","19 Ağustos 2019. İçişleri Bakanlığı Diyarbakır Büyükşehir Başkanı Adnan Selçuk Mızraklı (HDP, %62,93), Mardin Büyükşehir Başkanı Ahmet Türk ve Van Büyükşehir Başkanı Bedia Özgökçe Ertan'ı görevden aldı.","Second Trustee Wave","Diyarbakır","19 August 2019. Diyarbakır, Mardin, and Van metropolitan mayors removed."
"81","2023","37.4814","37.2917","yerinden","6 Şubat Depremleri — Diyarbakır Etkilendi","Pazarcık","7.7 ve 7.6 büyüklüğünde ikiz deprem. 11 il etkilendi. Resmi: 53.000+ ölü; bağımsız: 100.000+. Diyarbakır-Bağlar'da 425 ölü.","6 February Earthquakes","Pazarcık","Twin earthquakes of 7.7 and 7.6. Official: 53,000+ dead; independent: 100,000+. In Diyarbakır's Bağlar, 425 dead."
"82","2024","37.9144","40.2306","direnis","DEM Parti'nin 78 Belediye Zaferi","Diyarbakır","31 Mart 2024. DEM Parti 78 belediye (3 büyükşehir, 7 il, 58 ilçe, 10 belde). Kayyum atanan 48 belediyenin 37'sini geri aldı.","DEM Party's 78 Mayoralties","Diyarbakır","31 March 2024. DEM Party won 78 municipalities. Reclaimed 37 of the 48 previously held by trustees."
"83","2024","37.5744","43.7408","hukuki","Hakkari Belediyesi'ne Kayyum — Üçüncü Dalga","Hakkari","4 Haziran 2024. Üçüncü kayyum dalgası başladı. DEM Parti Belediye Başkanı Mehmet Sıddık Akış 'silahlı terör örgütüne üye olma' gerekçesiyle görevden alınıp tutuklandı.","Hakkari Trusteeship — Third Wave","Hakkari","4 June 2024. The third wave of trustee appointments. DEM mayor Mehmet Sıddık Akış removed and imprisoned."
"84","2024","41.0289","28.6803","hukuki","Esenyurt Belediyesi'ne Kayyum","Esenyurt","31 Ekim 2024. CHP'li Ahmet Özer 'silahlı terör örgütüne üye olma' gerekçesiyle tutuklandı. Kayyum politikasının Kürt illerinin dışına, İstanbul'a ve CHP belediyelerine uygulandiginin ilk örnegi,","Esenyurt Trusteeship","Esenyurt","31 October 2024. The first time the trustee policy moved beyond Kurdish provinces into Istanbul."
"85","2024","37.3212","40.7245","hukuki","Mardin, Batman, Halfeti — Eşzamanlı Kayyum","Mardin","4 Kasım 2024. Eşzamanlı kayyum: Mardin Ahmet Türk (4. kez); Batman Gülistan Sönük; Halfeti Mehmet Karayılan.","Mardin, Batman, Halfeti — Simultaneous Trusteeships","Mardin","4 November 2024. Simultaneous trustee appointments: Türk (4th time), Sönük, Karayılan."
"86","2025","38.4944","43.3833","hukuki","Van Büyükşehir — 11 Ayda İkinci Kayyum","Van","15 Şubat 2025. DEM Partili Abdullah Zeydan 3 yıl 9 ay. 11 ayda ikinci kez seçilmiş yöneticinin yerine kayyum — Avrupa Yerel Yönetimler Özerklik Şartı'na açık ihlal.","Van — Second Trustee in 11 Months","Van","15 February 2025. The second time in eleven months that Van's elected leader was replaced. An open violation of the European Charter of Local Self-Government."
"87","2025","40.4906","28.5189","direnis","Öcalan'ın Barış Çağrısı","İmralı","27 Şubat 2025. İmralı Cezaevi'nde DEM Parti İmralı Heyeti ile görüşme. Çağrı metni: 'Tüm gruplar silah bırakmalı ve PKK kendini feshetmelidir.'","Öcalan's Peace Call","İmralı","27 February 2025. 'All groups must lay down their arms, and the PKK must dissolve itself.'"
"88","2025","36.9","44.0","direnis","PKK'nın Fesih Kararı — 12. Kongre","Kandil","12 Mayıs 2025. PKK 12. Kongresi'nin son gününde: örgütsel yapının feshedilmesi, silahlı mücadelenin sonlandırılması. 47 yıllık silahlı çatışmanın kapanışı.","PKK Dissolution — 12th Congress","Qandil","12 May 2025. The closing of a 47-year armed conflict."
"89","2025","35.556","45.4351","direnis","Süleymaniye Silah Yakma Töreni","Süleymaniye","11 Temmuz 2025. PKK'lı bir grup Süleymaniye'de silahlarını törenle yaktı. 41 yıllık silahlı çatışmanın sembolik kapanışı.","Sulaymaniyah Weapons-Burning Ceremony","Sulaymaniyah","11 July 2025. The symbolic closure of 41 years of armed conflict."
"90","2026","39.9334","32.8597","hukuki","TBMM Komisyonu Raporu","Ankara","18 Şubat 2026. Yedi başlıklı nihai rapor 47 kabul, 1 çekimser, 2 ret oyu ile kabul edildi. 'Kürt sorunu' ifadesi yer almadı; yalnızca 'terör sorunu'.","Parliamentary Commission Report","Ankara","18 February 2026. The phrase 'Kurdish question' did not appear; only 'terrorism question'."
